asset_name	path_id	source_sha256	patched_sha256	translated_rows	file
Activity00_00	-4496947312037670123	D0983AED93544D7C2B05B1024247F2C2FB79A1B3855D74851496B881AD48C015	E348C5BE8E2595E36839998C9B5CE0428AF221383FAD01179AAB3E13525045FA	12	Activity00_00__-4496947312037670123.txt
Memory00_00	5742491962506870961	B7487FEE78FBC2D662D706271E2D267E461080886FFB6415895ECDE7CBD65CD3	974B3901B263687C1040ACD67E762B538245D6A95A2074F8878F319BF65334C6	371	Memory00_00__5742491962506870961.txt
Memory01_00	-2063483842202675069	787357E19A0A1681A00E2E4BA736C5490D0377AC356A9F0FA241BE72C87DCAC4	CE7F06FC35EB08BB08E3D9FE8B567BDD4F6FBEEA2C6A61340EEDC86422E5D9D0	365	Memory01_00__-2063483842202675069.txt
Memory02_00	485205599610408592	AC140FB828984DD4DD0627668BDEBBFB7CE905C35D62DD5E075EF1782423BC3B	740CBF855B0E5FC6FFCBFA5A04D32D88A2FF9617408F406BB9860721902BCE9A	383	Memory02_00__485205599610408592.txt
Memory03_00	1620152860337240270	D1B0AA1F7C402B3A53536CDCBB4B2F409E51463BD449A91AC65F07F4E89D53C5	125A31140D1C966AEF0FB1DEFB83CEC6D2905854E891C7888FEC030DA8953F6E	427	Memory03_00__1620152860337240270.txt
Memory04_00	-4653386823386038896	A7B7698D99D59D6899BA768E2768996691AFE8321C6EB01C1703C4727059387A	38E00E550AFEE94182301EAD39D85200A52FE94C4C31FD3A32E7D76AD1969746	405	Memory04_00__-4653386823386038896.txt
Message00_00	-7784440590159240635	2A41B98576E6194C98908B822FEDF374427088195D6D690EA86A9C93C562363B	EC59E4DB607D6FE500B411CCA0373B27596232E451E690C5F47E753E96834BB5	422	Message00_00__-7784440590159240635.txt
Message01_00	-5126065169363419477	863C17E7C6C2D7D324263AA6825AF4410B8D13943112DA1BF0D5DDE044F97443	402B3EDB3F8E95F84417E2FA1145612C2D337B2E11E50683FA55CCC132708DFA	52	Message01_00__-5126065169363419477.txt
Scenario00_00	4166539355128215970	5A39E14E13CD2654897E32BD16225DB7B72C2AB0643F5DD3DB86EF4A3865F2A1	27A74A9179FDC1C8BCC95B612416DE0763A016400F29E36068AFD5E86996B6A2	225	Scenario00_00__4166539355128215970.txt
Scenario01_00	857177459798762737	F485ECA75C22E5CA188F1A42805EDA510E2372C14179B4A911A8714F5F75CFB6	29DD30D7DFE83795C9704E1EF020178044AFD519CA7788C59B7913CAAE68D511	211	Scenario01_00__857177459798762737.txt
Scenario02_00	763397889138199840	9729988029DC8A0DE83DC08AABACE23EC0E4E4859CB23677F8203B614AAF3F2D	AC04494CEC5F37B7052AE5E593C7B78002451E74E1AB7222857F988BE8DCAEE7	236	Scenario02_00__763397889138199840.txt
Scenario03_00	7181615632446840621	6990069C69A162B9C43004B053643A0987C6E85AA759C2499E57F7CE9A25C994	69C40977BE36E3475CFE3EF562B1F5A7669A8A22252AA87C0CE23A5F61993B4D	399	Scenario03_00__7181615632446840621.txt
Scenario04_00	-2762234852845807252	F32A7F6467EE7CCA17CD2E3E990C324AFAA7AC148F9806664DB9ED8AD5F32802	E5DB3D51B24EE27B422CF06385208770624EF39EA238E6241605EB01F1B38C59	241	Scenario04_00__-2762234852845807252.txt
Scenario05_00	8476580004031032773	1BA8ED50DA0BB1A4767632142F777DF4021F9C7F77A74FD8F5F51F5D3F4E54DE	4E9628D790BD5ED36B0BFA7662C8A292F2F38462A28A55FADF0842DB867FC2BE	478	Scenario05_00__8476580004031032773.txt
Scenario06_00	5175126820179763674	937396AEB5DAE578B80E57E1DE2AD17422732DB45B729AAD59D05FE800D96C52	24942364967371F47E9CFFFF1E5678B98D7457FE2FB65DC9C681AEBA9931B9BF	4	Scenario06_00__5175126820179763674.txt
Tag00_00	6735756893528387633	E90B17FDAFB2DC748C6B25AB70A46BF779A1DAFF7068CA67F2492F9E52AFFE1E	CE8BBBBB56596FE41B6E7CD793449473F84D66EB2B9ACF5A04460769EEE2ACDE	8	Tag00_00__6735756893528387633.txt
Talk00_00	-346117994623998185	9CD231E68ACF64ACDA20437F12F107585278059F78B493F527ECD10CD736BBD4	6CC59A541475F33036E31D924ABFAFCD10FECD6886E4FB760782A0D67F8B4053	29	Talk00_00__-346117994623998185.txt
Talk01_00	-8839538286766376172	E1A561A395E6D1BB872178E08D978241CB28B975A3DF3697875E284E156673B4	0395BB9C8B9E19E45D7467F35E1B9E64CECB3ED5771AA1E894D277F5C48296D7	22	Talk01_00__-8839538286766376172.txt
Talk02_00	-4751912693084409451	7A3A621BB33B2A64F2DB9454F6C6100D2C337DE8C9906D4F76EF5E4004E3E0B7	44F5E6A1F89733A70C0F3E944F22ACDF8381864905D0EDB011D4D82372683DCE	21	Talk02_00__-4751912693084409451.txt
Talk03_00	-1463981233129051654	016470EB51B0ED66A632D96C4B571B13D992985DAE7BE0FC95ED58DDA0036F3C	D3B39732B62538D7F679C3FF0B7FB38B2E791FCD55CD7E1FA51C60EEEEE7B1D1	23	Talk03_00__-1463981233129051654.txt
Talk10_00	2072258509209153358	116592AFC23DB825748CADFB96D10E9906891C3FDC6B96E26D3871FBF1CF3930	D99D949BAF7BF95C6A3A96BB911E7EA0D7C24C0B91BA119D403AA7E800D01750	113	Talk10_00__2072258509209153358.txt
